["port 2","RIGHT"]
["port 1","LEFT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(100, 3)
1.8737028625000000e+14 6.3340143864649683e-03 -1.6874783520682650e+00
1.8748865029690462e+14 6.5193643939729052e-03 -1.0441375788469804e+00
1.8760716398230091e+14 6.6976079125212595e-03 -3.9969321481176090e-01
1.8772582759013281e+14 6.8679011881028987e-03 2.4578496418202181e-01
1.8784464140506328e+14 7.0294952311373785e-03 8.9224786225349806e-01
1.8796360571247625e+14 7.1817880890343942e-03 1.5396560516183460e+00
1.8808272079847909e+14 7.3243327548611677e-03 2.1879679767160987e+00
1.8820198694990488e+14 7.4567989526094294e-03 2.8371310682035928e+00
1.8832140445431472e+14 7.5789039691244522e-03 3.4870783429603089e+00
1.8844097360000000e+14 7.6903390191079583e-03 4.1377311222088355e+00
1.8856069467598475e+14 7.7907191198865518e-03 4.7890063988010798e+00
1.8868056797202800e+14 7.8795755176272828e-03 5.4408258498976050e+00
1.8880059377862594e+14 7.9563937079265741e-03 6.0931230493575681e+00
1.8892077238701466e+14 8.0206831264202118e-03 6.7458462127990844e+00
1.8904110408917197e+14 8.0720530872907658e-03 7.3989554873772292e+00
1.8916158917782028e+14 8.1102677687700572e-03 8.0524157477536047e+00
1.8928222794642856e+14 8.1352614638966949e-03 8.7061873899829969e+00
1.8940302068921506e+14 8.1471105845560242e-03 9.3602182204377762e+00
1.8952396770114944e+14 8.1459752084559866e-03 1.0014439045291025e+01
1.8964506927795528e+14 8.1320341818278460e-03 1.0668764174897577e+01
1.8976632571611256e+14 8.1054397818649086e-03 1.1323096265051287e+01
1.8988773731285988e+14 8.0663100697839808e-03 1.1977333363551459e+01
1.9000930436619719e+14 8.0147624899669576e-03 1.2631375275330635e+01
1.9013102717488791e+14 7.9509767256788835e-03 1.3285126669342727e+01
1.9025290603846156e+14 7.8752643146983194e-03 1.3938495593439203e+01
1.9037494125721616e+14 7.7881209431124544e-03 1.4591387766437288e+01
1.9049713313222078e+14 7.6902449731512858e-03 1.5243698557987161e+01
1.9061948196531794e+14 7.5825193732143407e-03 1.5895305409138460e+01
1.9074198805912597e+14 7.4659684037268635e-03 1.6546063316150388e+01
1.9086465171704181e+14 7.3417097363221726e-03 1.7195804968132084e+01
1.9098747324324325e+14 7.2109237237329375e-03 1.7844345584682042e+01
1.9111045294269156e+14 7.0748541393472883e-03 1.8491491022674786e+01
1.9123359112113403e+14 6.9348419786870114e-03 1.9137046877801943e+01
1.9135688808510641e+14 6.7923809293870272e-03 1.9780826429851896e+01
1.9148034414193547e+14 6.6491747990628115e-03 2.0422656331106673e+01
1.9160395959974178e+14 6.5071763418435317e-03 2.1062380510115460e+01
1.9172773476744188e+14 6.3685932237126713e-03 2.1699864242752454e+01
1.9185166995475116e+14 6.2358572479531632e-03 2.2335001124701353e+01
1.9197576547218631e+14 6.1115630818028115e-03 2.2967725372851650e+01
1.9210002163106797e+14 5.9983888221071622e-03 2.3598030433631763e+01
1.9222443874352331e+14 5.8990111115389630e-03 2.4225992599817019e+01
1.9234901712248866e+14 5.8160230754363022e-03 2.4851795859070652e+01
1.9247375708171206e+14 5.7518570205705565e-03 2.5475752304552600e+01
1.9259865893575600e+14 5.7087090968123101e-03 2.6098311867282352e+01
1.9272372300000000e+14 5.6884623024030826e-03 2.6720056333952282e+01
1.9284894959064328e+14 5.6926074357665250e-03 2.7341675555770667e+01
1.9297433902470741e+14 5.7221669072069718e-03 2.7963927795561929e+01
1.9309989162003906e+14 5.7776309198366268e-03 2.8587590133505763e+01
1.9322560769531250e+14 5.8589172976659552e-03 2.9213407397629780e+01
1.9335148757003256e+14 5.9653646321542299e-03 2.9842048218378096e+01
1.9347753156453716e+14 6.0957642217586983e-03 3.0474074441424644e+01
